"ordre","franja","tipo_dia","media_hw","sd_hw","n"
22,"20-22h","Fin de semana",14.5888888888889,6.76491493472562,15
18,"20-22h","Fin de semana",14.2266666666667,6.67785608595765,15
26,"20-22h","Fin de semana",13.9238095238095,6.59470687219373,14
16,"20-22h","Fin de semana",14.4866666666667,6.55008239376266,15
20,"20-22h","Fin de semana",14.4466666666667,6.53017780938793,15
39,"10-12h","Fin de semana",12.3151960784314,6.47114986691849,34
38,"14-16h","Fin de semana",12.6746913580247,6.40561920895339,54
36,"10-12h","Fin de semana",11.7619047619048,6.38574407948697,42
25,"20-22h","Fin de semana",13.8714285714286,6.35659502928256,14
36,"14-16h","Fin de semana",12.8298742138365,6.31521392408448,53
28,"20-22h","Fin de semana",14.2555555555555,6.26687351904468,12
39,"16-18h","Fin de semana",12.8407894736842,6.2413251477652,38
37,"10-12h","Fin de semana",11.8066666666667,6.1893730202532,45
23,"20-22h","Fin de semana",13.9083333333334,6.1423315751828,14
37,"14-16h","Fin de semana",12.5786231884058,6.11767996757938,46
37,"8-10h","Fin de semana",14.313,6.11592220533981,50
19,"20-22h","Fin de semana",15.2115384615385,6.10443594254521,13
31,"20-22h","Fin de semana",13.1439393939394,6.09142508744537,11
34,"8-10h","Fin de semana",14.3551515151515,6.0858010154171,55
38,"10-12h","Fin de semana",11.8116279069768,6.06919049072836,43
