"ordre","franja","tipo_dia","media_hw","sd_hw","n"
1,"20-22h","Laborable",15.0184210526316,0.321137473823043,95
2,"20-22h","Laborable",15.0405797101449,1.45496771097317,92
3,"20-22h","Laborable",15.0977528089888,1.47268520428823,89
4,"20-22h","Laborable",14.9315217391304,1.90596784069895,92
5,"20-22h","Laborable",14.8610486891386,2.02339371356075,89
6,"20-22h","Laborable",14.7873626373626,2.37757312288968,91
7,"20-22h","Laborable",14.7199275362319,2.611404544364,92
8,"20-22h","Laborable",14.546336996337,2.76377560035583,91
9,"20-22h","Laborable",14.486553030303,2.75085480497881,88
10,"20-22h","Laborable",14.4888888888889,2.87987051400461,87
12,"20-22h","Laborable",14.4160714285714,3.25802422698864,84
13,"20-22h","Laborable",14.4978682170543,3.29836144357986,86
14,"20-22h","Laborable",14.4130681818182,3.54573516494407,88
15,"20-22h","Laborable",14.1070588235294,3.62572139918226,85
16,"20-22h","Laborable",14.0897727272727,3.80085057347077,88
17,"20-22h","Laborable",14.1021317829457,3.69418620834225,86
18,"20-22h","Laborable",14.2253787878788,3.75425427245237,88
19,"20-22h","Laborable",14.2281007751938,3.85354709837548,86
20,"20-22h","Laborable",14.1990842490843,3.99601140848895,91
21,"20-22h","Laborable",14.041568627451,4.24215165743972,85
22,"20-22h","Laborable",14.1389534883721,4.14375316162508,86
23,"20-22h","Laborable",13.97,4.2807059139461,85
24,"20-22h","Laborable",14.195983935743,4.37370003169154,83
25,"20-22h","Laborable",13.9670498084291,4.7210213394089,87
26,"20-22h","Laborable",13.9969348659004,4.75351734910209,87
27,"20-22h","Laborable",14.048275862069,4.65246040495307,87
28,"20-22h","Laborable",13.9258620689655,4.87257708862876,87
29,"20-22h","Laborable",13.6238095238095,5.13732912190653,84
30,"20-22h","Laborable",13.7964705882353,5.40733817862604,85
31,"20-22h","Laborable",13.634126984127,5.36247866271233,84
32,"20-22h","Laborable",13.6208333333333,5.42321083314494,76
33,"20-22h","Laborable",13.7981735159818,5.30377046878193,73
34,"20-22h","Laborable",13.8839912280702,5.46971286455355,76
35,"20-22h","Laborable",13.4926160337553,5.58359850552558,79
36,"20-22h","Laborable",13.2433333333333,5.43242375446735,80
37,"20-22h","Laborable",13.494918699187,5.59936840514342,82
38,"20-22h","Laborable",13.5026819923372,5.89008817574988,87
39,"20-22h","Laborable",13.1185654008439,5.69763782921648,79
1,"16-18h","Laborable",9.05991228070176,1.71106292223117,190
2,"16-18h","Laborable",9.39157608695652,2.79082219360902,184
3,"16-18h","Laborable",9.43693693693694,2.73745473771708,185
4,"16-18h","Laborable",9.43061594202899,2.994370124393,184
5,"16-18h","Laborable",9.38072625698324,3.20065527099061,179
6,"16-18h","Laborable",9.36648148148148,3.18806500883942,180
7,"16-18h","Laborable",9.38724394785847,3.00299375832928,179
8,"16-18h","Laborable",9.31925287356322,3.12670475282583,174
9,"16-18h","Laborable",9.31804788213628,3.24068078812679,181
