par_id,bus_delante,trip_delante,bus_detras,trip_detras,codi_parada,ordre,headway_pair,hora_delante_str,hora_detras_str,franja_hora
6415_1__6813_2,6415,6415_1,6813,6813_2,3797,1,17.0,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2984,2,19.083333333333314,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2685,3,19.183333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,3649,4,20.66666666666663,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,3747,5,21.03333333333336,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,482,6,20.883333333333326,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,709,7,21.433333333333394,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1577,8,19.566666666666663,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,990,9,20.366666666666617,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,109,10,19.73333333333335,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,396,11,19.56666666666672,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1253,12,20.033333333333303,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1554,13,19.666666666666686,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1099,14,19.350000000000023,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,168,15,20.28333333333336,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,929,16,20.08333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,94,17,20.800000000000068,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1080,18,21.33333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,146,19,21.183333333333394,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,1089,20,21.116666666666674,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,213,21,21.050000000000068,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,3907,22,21.33333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,949,23,22.116666666666674,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,913,24,21.366666666666674,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,307,25,21.266666666666765,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,212,26,21.149999999999977,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2665,27,21.200000000000045,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2736,28,21.449999999999932,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,705,29,21.649999999999977,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,9979,30,22.466666666666583,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2492,31,21.81666666666672,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,946,32,22.08333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,947,33,23.333333333333258,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,327,34,23.33333333333337,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,3284,35,21.966666666666697,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,3282,36,22.25,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2583,37,22.949999999999932,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,2590,38,22.600000000000023,08:03:59,08:20:59,8
6415_1__6813_2,6415,6415_1,6813,6813_2,603,39,21.883333333333326,08:03:59,08:20:59,8
6415_7__6805_7,6415,6415_7,6805,6805_7,3797,1,-37.83333333333326,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,396,11,4.683333333333167,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,1253,12,5.383333333333439,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,1554,13,5.383333333333439,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,1099,14,4.400000000000091,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,168,15,3.5499999999999545,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,929,16,3.533333333333303,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,94,17,3.333333333333485,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,1080,18,5.150000000000091,18:15:59,17:38:09,18
6415_7__6805_7,6415,6415_7,6805,6805_7,146,19,5.7000000000000455,18:15:59,17:38:09,18
